column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
year,numeric,0,,,,,,,,,
quarter,numeric,0,,,,,,,,,
total_ballots,bigint,0,,,,,,,,,
active_politicians,bigint,0,,,,,,,,,
attendance_rate,numeric,0,,,,,,,,,
documents_produced,bigint,0,,,,,,,,,
q_baseline_ballots,numeric,0,,,,,,,,,
q_stddev_ballots,numeric,0,,,,,,,,,
ballot_z_score,numeric,0,,,,,,,,,
q_baseline_docs,numeric,0,,,,,,,,,
q_stddev_docs,numeric,0,,,,,,,,,
doc_z_score,numeric,0,,,,,,,,,
q_baseline_attendance,numeric,0,,,,,,,,,
q_stddev_attendance,numeric,0,,,,,,,,,
attendance_z_score,numeric,0,,,,,,,,,
max_z_score,numeric,0,,,,,,,,,
