election_cycle_id,cycle_year,calendar_year,semester,anomaly_type,politician_count_with_risk,avg_risk_score,risk_escalations,high_anomaly_count,avg_total_rebellions,strong_consensus_rebels,avg_risk_score_prs,high_risk_politicians,rank_by_risk,rank_by_anomalies,percent_rank_risk,ntile_risk_level,prev_semester_risk,prev_semester_anomalies,change_risk_pct,change_anomalies_pct,risk_trend,anomaly_acceleration
2022-2026,1,2022,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,7,1,1,4,,,,,baseline,0
1998-2002,1,1998,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,1,,,,,baseline,0
2018-2022,4,2021,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,1,,82,,0.00,baseline,0
2010-2014,1,2010,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,2,,,,,baseline,0
2022-2026,2,2023,spring,MULTI_SOURCE_PATTERN,0,13.96,33,82,17.97,248,23.67,2,3,1,0.3333333333333333,2,11.23,82,24.31,0.00,stable,0
2022-2026,3,2024,autumn,MULTI_SOURCE_PATTERN,0,11.66,135,82,17.97,248,23.67,2,5,1,0.6666666666666666,3,13.96,82,-16.48,0.00,stable,0
2002-2006,4,2005,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,4,,82,,0.00,baseline,0
2014-2018,4,2017,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,3,,82,,0.00,baseline,0
2026-2030,1,2026,autumn,MULTI_SOURCE_PATTERN,0,14.39,42,82,17.97,248,23.67,2,2,1,0.25,1,,,,,baseline,0
2002-2006,3,2004,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,3,,82,,0.00,baseline,0
2018-2022,1,2018,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,2,,,,,baseline,0
2006-2010,4,2009,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,4,,82,,0.00,baseline,0
2014-2018,1,2014,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,4,,,,,baseline,0
2026-2030,2,2027,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,3,1,0.5,2,20.19,82,,0.00,stable,0
2018-2022,2,2019,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,3,,82,,0.00,baseline,0
1994-1998,2,1995,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,1,,82,,0.00,baseline,0
2026-2030,4,2029,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,3,1,0.5,4,,82,,0.00,baseline,0
2018-2022,3,2020,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,4,,82,,0.00,baseline,0
1994-1998,3,1996,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,3,,82,,0.00,baseline,0
2022-2026,4,2025,spring,MULTI_SOURCE_PATTERN,0,14.35,91,82,17.97,248,23.67,2,1,1,0,1,11.73,82,22.34,0.00,stable,0
2010-2014,3,2012,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,3,,82,,0.00,baseline,0
1998-2002,4,2001,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,4,,82,,0.00,baseline,0
2022-2026,3,2024,spring,MULTI_SOURCE_PATTERN,0,14.29,111,82,17.97,248,23.67,2,2,1,0.16666666666666666,1,11.66,82,22.56,0.00,stable,0
2026-2030,1,2026,spring,MULTI_SOURCE_PATTERN,8,20.19,168,82,17.97,248,23.67,2,1,1,0,1,14.39,82,40.31,0.00,stable,0
2014-2018,3,2016,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,2,,82,,0.00,baseline,0
2006-2010,1,2006,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,1,,,,,baseline,0
2014-2018,2,2015,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,1,,82,,0.00,baseline,0
2002-2006,2,2003,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,2,,82,,0.00,baseline,0
2022-2026,4,2025,autumn,MULTI_SOURCE_PATTERN,1,11.73,108,82,17.97,248,23.67,2,4,1,0.5,2,14.29,82,-17.91,0.00,stable,0
2010-2014,2,2011,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,1,,82,,0.00,baseline,0
2006-2010,3,2008,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,3,,82,,0.00,baseline,0
1998-2002,2,1999,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,2,,82,,0.00,baseline,0
1998-2002,3,2000,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,3,,82,,0.00,baseline,0
1994-1998,1,1994,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,2,,,,,baseline,0
1994-1998,4,1997,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,4,,82,,0.00,baseline,0
2026-2030,3,2028,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,3,1,0.5,3,,82,,0.00,baseline,0
2006-2010,2,2007,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,2,,82,,0.00,baseline,0
2022-2026,2,2023,autumn,MULTI_SOURCE_PATTERN,0,11.23,68,82,17.97,248,23.67,2,6,1,0.8333333333333334,3,,82,,0.00,baseline,0
2030-2034,1,2030,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,1,,,,,baseline,0
2002-2006,1,2002,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,1,,,,,baseline,0
2010-2014,4,2013,spring,MULTI_SOURCE_PATTERN,0,,0,82,17.97,248,23.67,2,1,1,0,4,,82,,0.00,baseline,0
